topic,name,site,publication,description,title,doi,type,app_discoverer,app_verifier,app_verified,annotation,discoverer,verifier,verified,screenshot,essential_variable
Fires,"ABoVE -  Burn Severity, Fire Progression, and Field Data, NWT, Canada, 2015-2016",https://webmap.ornl.gov/ogc/dataset.jsp?ds_id=1548,https://daac.ornl.gov/ABOVE/guides/Wildfires_NWT_Canada.html,The fire progression map was made using an algorithm that enabled an assessment of wildfire progression rates at a daily time scale.,"ABoVE: Burn Severity, Fire Progression, and Field Data, NWT, Canada, 2015-2016",https://doi.org/10.3334/ORNLDAAC/1548,Software,4000-0002-2849-1111,9020-0003-9403-1032,TRUE,example annotation,9020-0003-9403-1032,,,topic/Fires.jpg,"Lakes, Groundwater"
Fires,"ABoVE -  Landsat-derived Burn Scar dNBR across Alaska and Canada, 1985-2015",https://webmap.ornl.gov/ogc/dataset.jsp?ds_id=1564,https://daac.ornl.gov/ABOVE/guides/ABoVE_Fire_Severity_dNBR.html,The differenced Normalized Burned Ratio (dNBR) was calculated for each burn scar from fires that occurred within the Arctic Boreal Vulnerability Experiment (ABoVE) Project domain in Alaska and Canada during 1985-2015.,"ABoVE: Landsat-derived Burn Scar dNBR across Alaska and Canada, 1985-2015",https://doi.org/10.3334/ORNLDAAC/1564,Software,4000-0002-2849-1111,111-0002-2849-1111,TRUE,,4000-0002-2849-1111,,,topic/Fires.jpg,"Lakes, Groundwater"
Fires,"ABoVE -  Wildfire Carbon Emissions at 30-m Resolution, Northwest Territories, CA, 2014",https://webmap.ornl.gov/ogc/dataset.jsp?ds_id=1561,https://daac.ornl.gov/ABOVE/guides/Fire_Emissions_NWT.html,"The focus of this study was to develop a high spatial resolution model to scale emissions from fires that occurred near Yellowknife, Northwest Territories, Canada, during 2014.","ABoVE: Wildfire Carbon Emissions and Burned Plot Characteristics, NWT, CA, 2014-2016",https://doi.org/10.3334/ORNLDAAC/1561,unclassified,4000-0002-2849-1111,111-0002-2849-1111,TRUE,,4000-0002-2849-1111,,,topic/Fires.jpg,"Lakes, Groundwater"
Fires,"ABoVE -  Ignitions, burned area and emissions of fires in AK, YT, and NWT, 2001-2015",https://webmap.ornl.gov/ogc/dataset.jsp?ds_id=1341,https://daac.ornl.gov/ABOVE/guides/Alaskan_Wildfire_C_Emissions.html,Burned area was retrieved from combining fire perimeter data from the Alaskan and Canadian Large Fire Databases with surface reflectance and active fire data from the Moderate Resolution Imaging Spectroradiometer (MODIS).,"ABoVE: Ignitions, burned area and emissions of fires in AK, YT, and NWT, 2001-2015",https://doi.org/10.3334/ORNLDAAC/1341,unclassified,4000-0002-2849-1111,111-0002-2849-1111,TRUE,,4000-0002-2849-1111,,,topic/Fires.jpg,"Lakes, Groundwater"
Fires,"Fire Intensity and Burn Severity Metrics for Circumpolar Boreal Forests, 2001-2013",https://webmap.ornl.gov/ogc/dataset.jsp?ds_id=1520,https://daac.ornl.gov/VEGETATION/guides/Boreal_Fire_Severity_Metrics.html,"Fire radiative power (FRP), a measure of the instantaneous release of combustion energy determined by fire line intensity and fire line length, was quantified using daily 1-km thermal anomalies/active fires of all quality during 2003-2013 and was used as a metric for fire intensity.","Fire Intensity and Burn Severity Metrics for Circumpolar Boreal Forests, 2001-2013",https://doi.org/10.3334/ORNLDAAC/1520,unclassified,4000-0002-2849-1111,111-0002-2849-1111,TRUE,,9020-0003-9403-1032,,,topic/Fires.jpg,"Lakes, Groundwater"
Fires,"ABoVE -  Burn Severity, Fire Progression, Landcover and Field Data, NWT, Canada, 2014",https://webmap.ornl.gov/ogc/dataset.jsp?ds_id=1307,https://daac.ornl.gov/ABOVE/guides/Wildfires_2014_NWT_Canada.html,The fire progression maps were made using an algorithm that enabled an assessment of wildfire progression rates at a daily time scale.,"ABoVE: Burn Severity, Fire Progression, Landcover and Field Data, NWT, Canada, 2014",https://doi.org/10.3334/ORNLDAAC/1307,unclassified,4000-0002-2849-1111,111-0002-2849-1111,TRUE,this doesn't look right,4000-0002-2849-1111,9020-0003-9403-1032,TRUE,topic/Fires.jpg,"Lakes, Groundwater"
Fires,"CMS -  Fire Weather Indices for Interior Alaska, 2001-2010",https://webmap.ornl.gov/ogc/dataset.jsp?ds_id=1509,https://daac.ornl.gov/CMS/guides/CMS_Fire_Weather_Data_AK.html,"The NASA Carbon Monitoring System (CMS) is designed to make significant contributions in characterizing, quantifying, understanding, and predicting the evolution of global carbon sources and sinks through improved monitoring of carbon stocks and fluxes. ","CMS: Fire Weather Indices for Interior Alaska, 2001-2010",https://doi.org/10.3334/ORNLDAAC/1509,Software,4000-0002-2849-1111,111-0002-2849-1111,TRUE,,4000-0002-2849-1111,9020-0003-9403-1032,TRUE,topic/Fires.jpg,"Lakes, Groundwater"
Fires,"Tree Mortality from Fires and Bark Beetles at 1-km Resolution, Western USA, 2003-2012",https://webmap.ornl.gov/ogc/dataset.jsp?ds_id=1512,https://daac.ornl.gov/VEGETATION/guides/Tree_Mortality_Western_US.html,Tree mortality was estimated at 1-km spatial resolution by combining tree (AGC) and disturbance datasets derived largely from remote sensing. Tree mortality is expressed as the amount of AGC stored in trees killed by disturbance (Mg carbon per km2).,"Tree Mortality from Fires and Bark Beetles at 1-km Resolution, Western USA, 2003-2012",https://doi.org/10.3334/ORNLDAAC/1512,Software,4000-0002-2849-1111,9020-0003-9403-1032,TRUE,,4000-0002-2849-1111,9020-0003-9403-1032,TRUE,topic/Fires.jpg,"Lakes, Groundwater"
Fires,"Siberian Boreal Forest Aboveground Biomass and Fire Scar Maps, Russia, 1969-2007",https://webmap.ornl.gov/ogc/dataset.jsp?ds_id=1321,https://daac.ornl.gov/VEGETATION/guides/Siberian_Biomass_Wildfire.html,"The study area covered ~100,000 km2 of the Kolyma River Basin in northeastern Siberia in far northeastern Russia. Cajander larch is the only tree species in the study area and dominates the permafrost zone from the Lena River in Central Yakutia to the Sea of Okhotsk in the Far East (Krestov, 2003; Abaimov, 2010).","Siberian Boreal Forest Aboveground Biomass and Fire Scar Maps, Russia, 1969-2007",https://doi.org/10.3334/ORNLDAAC/1321,Software,111-0002-2849-1111,9020-0003-9403-1032,TRUE,,111-0002-2849-1111,9020-0003-9403-1032,TRUE,topic/Fires.jpg,"Lakes, Groundwater"
Fires,"Fire Intensity and Burn Severity Metrics for Circumpolar Boreal Forests, 2001-2013",https://webmap.ornl.gov/ogc/dataset.jsp?ds_id=1520,https://daac.ornl.gov/VEGETATION/guides/Boreal_Fire_Severity_Metrics.html,"Fire radiative power (FRP), a measure of the instantaneous release of combustion energy determined by fire line intensity and fire line length, was quantified using daily 1-km thermal anomalies/active fires of all quality during 2003-2013 and was used as a metric for fire intensity.","Fire Intensity and Burn Severity Metrics for Circumpolar Boreal Forests, 2001-2013",https://doi.org/10.3334/ORNLDAAC/1520,Software,111-0002-2849-1111,9020-0003-9403-1032,TRUE,,111-0002-2849-1111,9020-0003-9403-1032,TRUE,topic/Fires.jpg,"Lakes, Groundwater"
